ticker,name,sector,shares,cost_basis,current_price,e_score,s_score,g_score,co2e_avoided_t,clean_energy_mwh,people_served,jobs_supported,notes
FSLR,First Solar,Clean Energy,40,160.00,205.50,88,72,78,1.20,4.5,0,0,Utility-scale thin-film solar manufacturer
NEE,NextEra Energy,Clean Energy,120,68.40,74.10,82,70,80,0.85,2.1,0,0,Largest US renewables utility
BEPC,Brookfield Renewable,Clean Energy,90,29.80,27.55,86,68,74,0.95,3.0,0,0,Diversified hydro/wind/solar developer
BLDP,Ballard Power Systems,Clean Mobility,300,4.10,3.05,78,64,66,0.20,0,0,0,Hydrogen fuel cells for heavy mobility
WM,Waste Management,Circular Economy,25,178.00,212.40,70,66,82,0.40,0,0,0,Landfill gas capture and recycling
XYL,Xylem Inc.,Water & Sanitation,55,108.20,129.75,80,78,76,0,0,420,0,Water infrastructure and treatment tech
VEEV,Veeva Systems,Health & Wellbeing,35,185.00,234.10,64,82,80,0,0,180,0,Cloud software for life sciences
GRMN,Garmin,Health & Wellbeing,20,120.00,147.30,66,72,78,0,0,95,0,Wearables enabling preventive health
SBUX,Starbucks,Sustainable Food,60,92.50,99.20,68,74,70,0,0,0,0.08,Ethical sourcing and worker programs
JKHY,Jack Henry & Associates,Financial Inclusion,18,158.00,171.40,60,78,84,0,0,220,0.05,Core banking tech for community banks
